Customer ID,Transaction ID,Date,Time,Itemization Type,Category,Item,Gross Sales,Payment Method,Card Brand,Device Name
NAV3NDPE1N2PAYYZV6QC9ZXP5W,HIDn2RSJUu3adztfbtsTsNQTuhZZY,2025-07-25,15:27:36,Service,Haircuts,Men’s Haircut,$25.00,Card,Visa,iPhone
Z0N1F8SV2YRFNMEF309W1GVFEG,h3aEb9xex6rQ7VjW7XfUUQTEg7BZY,2025-07-25,14:46:01,Service,Haircuts,Women’s haircut,$35.00,Card,Visa,iPhone
JW8MZTF1JX75ZN2HVPPKCV4Z9R,BJHORRNQ3dLFMUMiwrHyNnyCQaKZY,2025-07-25,13:58:33,Service,Color,Color Retouch,$70.00,Card,Visa,iPhone
JW8MZTF1JX75ZN2HVPPKCV4Z9R,BJHORRNQ3dLFMUMiwrHyNnyCQaKZY,2025-07-25,13:58:33,Service,Haircuts,Women’s haircut,$25.00,Card,Visa,iPhone
E3A8E8RE3933ZC5M64XTQ7S9S4,thcSCBgiJNCls1Ss2zZHtdh3EDaZY,2025-07-25,12:02:23,Service,Color,Color Retouch,$70.00,Card,Visa,iPhone
E3A8E8RE3933ZC5M64XTQ7S9S4,thcSCBgiJNCls1Ss2zZHtdh3EDaZY,2025-07-25,12:02:23,Service,Color,Toner,$40.00,Card,Visa,iPhone
YCPCSVBAB9233BDWGKHZ0ZNM7R,xrYWIwLTqlVgPN7CW0pZL4QzbJaZY,2025-07-25,10:29:41,Service,Roller sets,Shampoo & set,$25.00,Card,Discover,iPhone
S8XGTPEXAX5QQ1TYTJB3E1636C,Nl6U6TMjmYhjBZeMoKUOVwqryuXZY,2025-07-24,17:55:46,Service,Color,Color Retouch,$70.00,Card,Visa,iPhone
S8XGTPEXAX5QQ1TYTJB3E1636C,Nl6U6TMjmYhjBZeMoKUOVwqryuXZY,2025-07-24,17:55:46,Service,Haircuts,Men’s Haircut,$25.00,Card,Visa,iPhone
RB94WBNFHRY1119760XPZ8Y9ZG,9Zsu4GvK7OgDn0ARwG3Xe6QOlMaZY,2025-07-24,17:21:49,Service,Foils,Highlights & low lights,$150.00,Card,Visa,iPhone
HT3F60BMPWHGYJTEMYWEPPPFV4,Bxnwdkd3BnL9yUWYqhwr5Sz0QqKZY,2025-07-24,16:13:32,Service,Wax,Eyebrow wax,$15.00,Card,Visa,iPhone
ZDVYN3R154G616KWC1G91M4R8C,vWAZMPsBJVS0DwtfdZhXC0bEKqNZY,2025-07-24,15:15:00,Service,Haircuts,Men’s Haircut,$25.00,Card,American Express,iPhone
WPK4GZYM011R98DS2SGDF2JMCC,f6cuPiZAQDxUICyyReSApUjoqePZY,2025-07-24,14:46:55,Service,Haircuts,Men’s Haircut,$25.00,Card,Discover,iPhone
7BWP4WM4ZNVDB0BB154HW6A0V8,TQ4xFyVz4mtnaBhM8FOQl2DGrv5YY,2025-07-24,14:33:32,Service,Haircuts,Women’s haircut,$50.00,Card,MasterCard,iPhone
HHW9P0CPPE63TF6QHR9NSFV2T4,fea2UqK5cMqRccJtRHNipWuWfqEZY,2025-07-24,14:01:22,Service,Roller sets,Shampoo & set,$25.00,Card,Visa,iPhone
RD1WFYN8K00D5RPQQZ14S5SH5M,DYcZii7sFqmQJaxHP0n2H5I7UCXZY,2025-07-24,12:37:59,Service,Styling,"Shampoo, haircut & blow dry",$60.00,Card,Visa,iPhone
3S628J25KYCXD3MJ1VYZA4NWPR,pXyPdemvnGwUsRuIgQMIVbzFc5PZY,2025-07-24,11:45:24,Service,Color,Color Retouch,$70.00,Card,MasterCard,iPhone
3S628J25KYCXD3MJ1VYZA4NWPR,pXyPdemvnGwUsRuIgQMIVbzFc5PZY,2025-07-24,11:45:24,Service,Haircuts,Women’s haircut,$35.00,Card,MasterCard,iPhone
GMNZFZ7E010V9AZA279PBJ5RCC,Fh8jIcrxmTa0lus1FyU9D1ob5LNZY,2025-07-24,10:50:44,Service,Haircuts,Women’s haircut,$35.00,Card,Visa,iPhone
A323D5D8JNY9SS6T80GXK4ZT94,7qn7Jh0vHCKMTA1l1SSyOsdg0lAZY,2025-07-24,10:27:04,Service,Haircuts,Men’s Haircut,$25.00,Card,Visa,iPhone
XSP9XA4TAN2WN8EQP7J180B25R,1H5G4W9ZTfKTMXMqubkpNF3D0GPZY,2025-07-24,9:40:26,Service,Styling,"Shampoo, haircut & blow dry",$60.00,Card,Visa,Kaitlyn's S22+
KP9S48HN30DK2C4Z1M1PKTC24R,3eAOznNd2V2iKbPXTnCzck2lw5NZY,2025-07-23,18:36:29,Service,Color,Color Retouch,$90.00,Card,Visa,iPhone
NDEQSXZ8RM5RK879TQY5B645B4,FjRDnsgV5C7XR9ULYc1jZ3JPbaNZY,2025-07-23,17:37:26,Service,Haircuts,Men’s Haircut,$25.00,Card,Visa,iPhone
R1NA15E7D13YS1Q3CKJ6X0NDV8,dFgN1rDQdcHHgpxq4v9wX06XBVQZY,2025-07-23,15:11:31,Service,Color,Color Retouch,$70.00,Card,Visa,Kaitlyn's S22+
86JDEH302AER0YYA8DFTAPCSGM,vCqP2LXneljVD93z5gmX19Bo7BTZY,2025-07-23,14:39:14,Service,Haircuts,Women’s haircut,$35.00,Card,Visa,iPhone
7KNW6P5X45CXN7Q052F4HX59AW,tTDPuViqc7k6CQiirvnBXqtcAz8YY,2025-07-23,14:11:20,Service,Haircuts,Men’s Haircut,$30.00,Card,Visa,iPhone
N174ZMYNYJT9XQYVYF5TFWWWC8,RxnGjijab25zfKolLjiplZs25j7YY,2025-07-23,13:38:36,Service,Color,Color Retouch,$70.00,Card,Visa,iPhone
N174ZMYNYJT9XQYVYF5TFWWWC8,RxnGjijab25zfKolLjiplZs25j7YY,2025-07-23,13:38:36,Service,Haircuts,Women’s haircut,$35.00,Card,Visa,iPhone
8QJTWK2DGFK021P63VMZFCNH4M,DOH5mEKmHfHSv7s1vYxquXHCv5ZZY,2025-07-22,17:11:56,Service,Wax,Eyebrow wax,$15.00,Card,Discover,iPhone
8QJTWK2DGFK021P63VMZFCNH4M,DOH5mEKmHfHSv7s1vYxquXHCv5ZZY,2025-07-22,17:11:56,Service,Haircuts,Women’s haircut,$35.00,Card,Discover,iPhone
8QJTWK2DGFK021P63VMZFCNH4M,DOH5mEKmHfHSv7s1vYxquXHCv5ZZY,2025-07-22,17:11:56,Service,Wax,Lip wax,$15.00,Card,Discover,iPhone
